Sort_Order,Animal_ID,Year,Season,Departure_UTC,Arrival_UTC,Departure_Local,Arrival_Local,Flight_Duration_Hours,Stage,Overall_Duration_Days,Final_Destination,Departure_Site,Arrival_Site,Stay_Duration_Hours
64,MAGO_7H,2010,spring,4/25/2010 21:41,4/26/2010 19:11,4/25/2010 13:41,4/26/2010 11:11,21.49,N2,NA,N,bodega,green_is_bc,165.56
65,MAGO_7H,2010,spring,5/3/2010 16:44,5/4/2010 7:37,5/3/2010 8:44,5/3/2010 22:37,14.88,N3,NA,N,green_is_bc,malaspina,42.77
66,MAGO_7H,2010,spring,5/6/2010 2:23,5/6/2010 6:11,5/5/2010 17:23,5/5/2010 21:11,3.80,N4,NA,N,malaspina,controller,143.56
67,MAGO_7H,2010,spring,5/12/2010 5:45,5/12/2010 20:11,5/11/2010 20:45,5/12/2010 11:11,14.44,N5,NA,N,controller,kvichaktundra,6.78
68,MAGO_7H,2010,spring,5/13/2010 2:58,5/13/2010 5:07,5/12/2010 17:58,5/12/2010 20:07,2.15,N6,21.27,Y,kvichaktundra,ugashik,1641.18
69,MAGO_7H,2010,fall,7/20/2010 14:17,7/22/2010 21:47,7/20/2010 5:17,7/22/2010 13:47,55.50,S1,2.31,Y,ugashik,moss,6584.36
70,MAGO_7H,2011,spring,4/23/2011 6:09,4/24/2011 17:52,4/22/2011 22:09,4/24/2011 8:52,35.72,N1,NA,N,moss,controller,102.72
71,MAGO_7H,2011,spring,4/29/2011 0:35,4/29/2011 15:49,4/28/2011 15:35,4/29/2011 6:49,15.22,N2,6.40,Y,controller,ugashik,2021.58
72,MAGO_7H,2011,fall,7/22/2011 21:23,7/25/2011 7:41,7/22/2011 12:23,7/24/2011 23:41,58.30,S1,NA,N,ugashik,humboldt,107.23
73,MAGO_7H,2011,fall,7/29/2011 18:55,7/30/2011 0:16,7/29/2011 10:55,7/29/2011 16:16,5.35,S2,NA,N,humboldt,bodega,100.31
74,MAGO_7H,2011,fall,8/3/2011 4:35,8/3/2011 8:49,8/2/2011 20:35,8/3/2011 0:49,4.23,S3,11.48,Y,bodega,moss,6245.40
